80 1  80  80  470
80 2  159  161  462
80 3  237  224  484
80 4  314  245  436
80 5  390  264  496
80 6  465  309  486
80 7  539  325  502
80 8  612  337  489
80 9  684  348  509
80 10  755  362  503
80 11  825  381  518
80 12  894  396  515
80 13  962  409  511
80 14  1029  423  523
80 15  1095  428  531
80 16  1160  445  535
80 17  1224  485  543
80 18  1287  474  545
80 19  1349  489  545
80 20  1410  491  552
80 21  1470  503  562
80 22  1529  520  557
80 23  1587  533  562
80 24  1644  536  570
80 25  1700  547  575
80 26  1755  552  571
80 27  1809  569  599
80 28  1862  561  580
80 29  1914  579  577
80 30  1965  588  594
80 31  2015  591  593
80 32  2064  604  614
80 33  2112  610  617
80 34  2159  622  624
80 35  2205  645  629
80 36  2250  644  628
80 37  2294  655  632
80 38  2337  667  643
80 39  2379  652  632
80 40  2420  682  651
80 41  2460  687  661
80 42  2499  697  658
80 43  2537  707  671
80 44  2574  707  681
80 45  2610  712  682
80 46  2645  724  689
80 47  2679  737  688
80 48  2712  744  709
80 49  2744  759  712
80 50  2775  752  709
80 51  2805  767  713
80 52  2834  775  722
80 53  2862  781  713
80 54  2889  788  726
80 55  2915  797  744
80 56  2940  810  753
80 57  2964  807  747
80 58  2987  821  751
80 59  3009  834  768
80 60  3030  834  763
80 61  3050  839  775
80 62  3069  852  777
80 63  3087  857  789
80 64  3104  862  781
80 65  3120  875  797
80 66  3135  882  811
80 67  3149  895  808
80 68  3162  895  821
80 69  3174  914  811
80 70  3185  913  825
80 71  3195  926  842
80 72  3204  930  846
80 73  3212  941  850
80 74  3219  951  855
80 75  3225  949  847
80 76  3230  968  866
80 77  3234  974  878
80 78  3237  975  880
80 79  3239  997  902
80 80  3240  1003  899
